City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
156,caraballeda,10.6112,-66.8522,24.04,83,40,2.57,VE,1709010548
157,shimanovsk,52.0,127.7,-10.68,71,100,2.41,RU,1709010549
158,bratsk,56.1325,101.6142,-17.73,79,100,3.63,RU,1709010549
159,lai chau,22.3997,103.4517,25.95,40,9,2.18,VN,1709010549
160,aleksandrovsk-sakhalinskiy,50.8975,142.1561,-8.02,87,64,2.42,RU,1709010550
161,petropavlovsk-kamchatsky,53.0452,158.6483,-7.67,61,0,7.0,RU,1709010550
162,kapa'a,22.0752,-159.319,22.99,76,40,9.26,US,1709010550
163,hirado,33.3597,129.5531,10.22,58,99,12.64,JP,1709010551
164,san lawrenz,36.0553,14.204,15.67,80,100,8.57,MT,1709010551
165,sovetskiy,61.3614,63.5842,-3.95,92,99,2.68,RU,1709010551
166,taltal,-25.4,-70.4833,19.85,80,41,2.29,CL,1709010552
167,miranda,3.2499,-76.2281,20.07,90,85,2.09,CO,1709010256
168,zaozersk,69.4005,32.4476,-7.27,86,98,3.97,RU,1709010552
169,taupo,-38.6833,176.0833,19.93,50,31,3.95,NZ,1709010274
170,holualoa,19.6228,-155.9522,21.91,87,75,3.6,US,1709010553
171,zhengjiatun,43.5064,123.5064,-2.74,44,100,4.15,CN,1709010554
172,san patricio,28.017,-97.5169,21.97,93,98,7.27,US,1709010554
173,reinosa,42.9996,-4.138,1.21,98,96,7.07,ES,1709010555
174,rancho palos verdes,33.7445,-118.387,14.13,93,100,0.89,US,1709010556
175,puerto princesa,9.7392,118.7353,28.06,65,45,7.37,PH,1709010556
176,bukama,-9.2,25.85,19.3,96,100,0.83,CD,1709010556
177,abilene,32.4487,-99.7331,23.49,33,0,3.09,US,1709010557
178,yamba,-5.9,22.3,20.6,97,99,0.81,CD,1709010557
179,xapuri,-10.6517,-68.5044,22.26,99,100,0.77,BR,1709010558
180,carnarvon,-24.8667,113.6333,27.93,67,7,6.34,AU,1709010558
181,razole,16.4833,81.8333,31.33,43,29,3.17,IN,1709010558
182,kapuskasing,49.4169,-82.4331,-3.46,96,100,3.32,CA,1709010559
183,tegueste,28.5167,-16.3167,16.16,97,75,2.57,ES,1709010559
184,ciudad lazaro cardenas,17.9583,-102.2,23.25,87,10,1.57,MX,1709010559
185,khanty-mansiysk,61.0042,69.0019,0.06,74,40,4.0,RU,1709010560
186,garagoa,5.0824,-73.3633,16.24,81,88,0.7,CO,1709010560
187,port lincoln,-34.7333,135.8667,27.02,55,21,4.12,AU,1709010560
188,rabigh,22.7986,39.0349,22.34,48,0,3.06,SA,1709010561
189,vorgashor,67.5833,63.95,-1.84,97,100,4.63,RU,1709010561
